PCE reporting ID...1,AEA Plant ID,eia_plant_id,PCE reporting ID...4,plant_name,AEA_operator Id,eia_operator_id,OPERATOR_Operator_name,INTERTIE_Current Intertie ID,INTERTIE_Current Intertie name,Currently Reports to EIA,Currently Reports to PCE,combined_heat_power,nameplate_capacity,OPERATOR_sector__id,OPERATOR_sector__name,OPERATOR_sector__number,Primary voltage,Primary voltage 2,Phases,Latitude,longitude,"status (OP, SB, OA)",Notes,CPCN
NA,P1,54452,NA,Agrium Kenai Nitrogen Operations,AEA-121,179,Agrium US Inc,215-1985,Railbelt_grid,FALSE,FALSE,FALSE,NA,NA,Industrial CHP,7,24.8,NA,NA,60.6732,-151.3784,NA,NA,0
NA,P10,57085,NA,Lake Dorothy Hydroelectric Project,AEA-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,TRUE,FALSE,FALSE,14.3,1,Electric Utility,1,138,NA,NA,58.2325,-134.0533,OP,NA,1
331740,P100,NA,331740,Karluk,AEA-007,NA,Alutiiq Power Company,092-0000,Karluk_grid,FALSE,TRUE,FALSE,0.12,1,Electric Utility,1,NA,NA,NA,57.57021,-154.45433,OP,NA,683
NA,P101,75,NA,Anchorage 1,AEA-109,599,Anchorage Municipal Light & Power,215-1985,Railbelt_grid,TRUE,FALSE,FALSE,77.9,1,Electric Utility,1,115,NA,NA,61.2221,-149.8661,OP,NA,121
NA,P102,77,NA,Eklutna Hydro Project,AEA-109,599,Anchorage Municipal Light & Power,215-1985,Railbelt_grid,TRUE,FALSE,FALSE,44.4,1,Electric Utility,1,115,NA,NA,61.475211,-149.15009,OP,NA,121
NA,P103,6559,NA,George M Sullivan Generation Plant 2,AEA-109,599,Anchorage Municipal Light & Power,215-1985,Railbelt_grid,TRUE,FALSE,FALSE,346.9,1,Electric Utility,1,115,NA,NA,61.229713,-149.716744,OP,NA,121
NA,P104,NA,NA,AWWU Conduit,AEA-109,599,Anchorage Municipal Light & Power,215-1985,Railbelt_grid,FALSE,FALSE,FALSE,NA,1,Electric Utility,1,115,NA,NA,NA,NA,NA,NA,121
331760,P105,7182,331760,Aniak,AEA-009,4959,Aniak Light & Power,093-0000,Aniak_grid,TRUE,TRUE,FALSE,1.7,1,Electric Utility,1,2.4,NA,NA,61.580678,-159.535643,OP,NA,5
331770,P106,NA,331770,Arctic Village,AEA-010,NA,Arctic Village Electric Company,094-0000,Arctic Village_grid,FALSE,TRUE,TRUE,0.395,1,Electric Utility,1,7.2,NA,NA,NA,NA,OP,NA,747
331750,P107,NA,331750,Atka,AEA-011,NA,"Atka, City of",095-0000,Atka_grid,FALSE,TRUE,TRUE,0.257,1,Electric Utility,1,7.2,NA,NA,52.19611,-174.20056,OP,NA,291
