"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Revenue by  Operators/Utilities ($000) by AEA Energy Regions, 2016",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercialb,Otherb,Region Totala,Percent of Statewide Total
Aleutians,3494.3950567750012,17057.464919466667,4279.1530162499994,24831.012992491665,2.2400265763422959E-2
Bering Straits,6928.8527333000002,4874.6164155750002,8565.2277473583345,20368.69689623333,1.8374772864409476E-2
Bristol Bay,6943.8431880083353,13240.288844866667,5389.5364581666672,25573.66849104167,2.3070221537809521E-2
Copper River/Chugach,6033.207310183333,18836.535713649995,1748.2369168666669,26617.979940700003,2.4012303684003297E-2
Kodiak,6492.7128897999992,4104.0450784000004,14020.612171225001,24617.370139425002,2.2207536747953626E-2
Lower Yukon-Kuskokwim,15682.470911516666,11068.050328825,15220.005508999997,41970.526749341661,3.7861965345529235E-2
North Slope,2391.4666799999995,23791.720300000001,204.96092999999996,26388.14791,2.3804970275165569E-2
Northwest Arctic,6405.1214582000002,5289.4759075500015,4675.684986483333,16370.282352233335,1.4767769459231519E-2
Railbelt,305385.90000000002,319385.5,155873.5,780644.9,0.70422633309999505
Southeast,42115.76262248485,36476.020749473486,24570.418513949247,103162.20188590761,9.3063490389335923E-2
Yukon-Koyukuk/Upper Tanana,6553.6407686166658,5823.0929441750013,5592.6927673250002,17969.426480116668,1.6210370833143868E-2
Total,408427.37361888494,459946.81120198185,240140.02901662423,1108514.2138374909,1
Percent of Total,0.36844577049217769,0.41492188865104662,0.21663234085677585,1,NA
aThe regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
bRevenue for PCE communities assumes that all sales pay the residential rate.,NA,NA,NA,NA,NA
