"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21
"Net Generation by Prime Mover by Certified Utilities (MWh), 2018",NA,NA,NA,NA,NA,NA,3,8,9,10,11,12,13,NA,NA,NA,NA,NA,NA,NA
PLANTS_AEA plant ID,PCE ID,Utility Name,Plant Name,Community Name,Intertie Name,Energy Region,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Solar PV,Wind Turbine,Flywheel,Battery,Total Net Generation,Station Service Consumption,Gross Generation,Data source,Number of monthly records,Communities connected to plant,Note1
P10,NA,Alaska Electric Light & Power Company,Lake Dorothy Hydroelectric Project,Juneau,Juneau_grid,Southeast,0,0,81558.000000000015,0,0,0,0,81558.000000000015,NA,81558.000000000015,EIA923,12,"Juneau, Douglas",NA
P100,331740,Alutiiq Power Company,Karluk,Karluk,Karluk_grid,Kodiak,0,218.20699999999999,0,0,0,0,0,215.57999999999998,2.6269999999999998,218.20699999999999,PCE,12,Karluk,NA
P101,NA,Anchorage Municipal Light and Power,Anchorage 1,Anchorage,Railbelt_grid,Railbelt,28932,5,0,0,0,0,0,28937,NA,28937,EIA923,24,Includes ML&P's sevice territory,NA
P102,NA,Anchorage Municipal Light and Power,Eklutna Hydro Project,Anchorage,Railbelt_grid,Railbelt,0,0,168115,0,0,0,0,168115,NA,168115,EIA923,12,Includes ML&P's sevice territory,NA
P103,NA,Anchorage Municipal Light and Power,George M Sullivan Generation Plant 2,Anchorage,Railbelt_grid,Railbelt,843328,0,0,0,0,0,0,843328,NA,843328,EIA923,24,Includes ML&P's sevice territory,NA
P105,331760,Aniak Light & Power,Aniak,Aniak,Aniak_grid,Lower Yukon-Kuskokwim,0,2582.3000000000002,0,0,0,0,0,2551.0660000000003,31.234000000000002,2582.3000000000002,PCE,12,Aniak,NA
P106,331770,Arctic Village Electric Company,Arctic Village,Arctic Village,Arctic Village_grid,Yukon-Koyukuk/Upper Tanana,0,479.774,0,0,0,0,0,479.774,0,479.774,PCE,9,Arctic Village,NA
P107,331750,"Atka, City of",Atka,Atka,Atka_grid,Aleutians,0,56.280999999999992,361.06199999999995,0,0,0,0,373.64499999999998,43.698,417.34299999999996,PCE,11,Atka,NA
P108,331780,Atmautluak Tribal Utilities,Atmautluak,Atmautluak,Atmautluak_grid,Lower Yukon-Kuskokwim,0,609.7589999999999,0,0,0,0,0,576.76499999999987,32.994,609.7589999999999,PCE,10,Atmautluak,NA
P109,NA,Aurora Energy LLC,Aurora Energy LLC Chena,Fairbanks,Railbelt_grid,Railbelt,177819,0,0,0,0,0,0,177819,NA,177819,EIA923,12,Includes GVEA's sevice territory,NA
