"Early Release, Subject to Revision",...2,...3,...4,...5
"Table 1.a   Communities Participating in Power Cost Equalization Program, by AEA Energy Region, 2020",NA,NA,NA,NA
AEA Energy Region,PCE Eligible Active,PCE Eligible Inactive,PCE Ineligible,% Eligible Active in PCE program
Aleutians,11,1,0,0.91666666666666663
Bering Straits,16,0,0,1
Bristol Bay,27,0,0,1
Copper River/Chugach,8,0,15,1
Kodiak,5,0,5,1
Lower Yukon-Kuskokwim,46,2,0,0.95833333333333337
North Slope,7,0,2,1
Northwest Arctic,11,0,0,1
Railbelt,0,0,95,NA
Southeast,21,1,6,0.95454545454545459
Yukon-Koyukuk/Upper Tanana,41,1,1,0.97619047619047616
Total,193,5,124,NA
"Some utilities, both in urban and rural Alaska, serve multiple communities.",NA,NA,NA,NA
